ID,Begintijd,Tijd van voltooien,E-mail,Naam,Tijd van laatste wijziging,"Wat is uw geslacht?
",Wat is het hoogste onderwijsniveau dat u heeft afgerond?,Wat is uw leeftijd?,"Wat is uw religieuze overtuiging?
",In welke provincie heeft u het grootste deel van uw jeugd doorgebracht?,Vindt u dat iemand zelf moet kunnen kiezen of die een abortus wil?,"Indien u bij de vorige vraag 'Nee' heeft ingevuld; 
Vindt u dat er uitzonderingen zijn waarin iemand dit wel zelf moet kunnen kiezen?  

",Vindt u dat er voor abortus gekozen mag worden als de gezondheid van de vrouw door de zwangerschap in gevaar kan komen?,Vindt u dat iemand een abortus mag als de zwangerschap een gevolg is van verkrachting?,"Vindt u dat een minderjarig kind de keuze moet hebben om voor een abortus te kiezen?  

","Vindt u dat de ouders zeggenschap moeten hebben over of hun minderjarige kind wel of niet voor abortus mag kiezen?

",Moet het wettelijk verplicht worden voor vrouwen die een abortus willen om een echo van de foetus te zien voordat een abortus toegestaan is?,Vindt u dat de wettelijke bedenktijd moet terugkomen?,Vindt u dat adoptie een alternatief is voor abortus?,Moet de biologische vader zeggenschap hebben over de beslissing voor een abortus?,Het leven van de vrouw in gevaar is,Het kind met een geestelijke handicap geboren kan worden,Het kind met een levensbedreigende ziekte geboren kan worden,De zwangerschap veroorzaakt is door verkrachting,De vrouw het kind niet wil houden om niet gespecificeerde redenen,De vrouw niet in staat is voor het kind te zorgen vanwege financiële beperkingen,Wil je nog iets kwijt over de vragen of iets toevoegen?
103,5-10-24 13:29:46,5-10-24 13:36:14,anonymous,,,Vrouw,Universiteit,34,Anders,Groningen,Ja,,Ja,Ja,Ja,Weet ik niet,Nee,Nee,Nee,Nee,zeer eens,neutraal,beetje eens,eens,zeer eens,beetje eens,
104,5-10-24 15:25:45,5-10-24 15:27:57,anonymous,,,Vrouw,Universiteit,30,Niet gelovig,Groningen,Ja,Niet van toepassing ,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,zeer eens,eens,eens,zeer eens,zeer eens,eens,
105,5-10-24 22:24:37,5-10-24 22:38:37,anonymous,,,Vrouw,Middelbare school,17,Niet gelovig,Groningen,Ja,Niet van toepassing ,Ja,Ja,Ja,Weet ik niet,Nee,Weet ik niet,Nee,Weet ik niet,zeer eens,beetje eens,eens,zeer eens,neutraal,beetje eens,
106,5-11-24 12:42:54,5-11-24 12:47:15,anonymous,,,Man,HBO,40,Niet gelovig,Groningen,Ja,Niet van toepassing ,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Nee,zeer eens,eens,eens,zeer eens,zeer eens,zeer eens,
107,5-11-24 13:02:37,5-11-24 13:11:24,anonymous,,,Vrouw,HBO,32,Niet gelovig,Groningen,Ja,Niet van toepassing ,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Weet ik niet,zeer eens,neutraal,beetje eens,neutraal,zeer eens,eens,"Ik vind het niet perse wenselijk of onwenselijk, ik vind vooral dat zwangere vrouwen/ouders de keuze moeten hebben op basis van hun situatie en wensen."
108,5-11-24 19:18:20,5-11-24 19:24:12,anonymous,,,Man,Middelbare school,20,Niet gelovig,Drenthe,Ja,,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Ja,zeer eens,zeer eens,zeer eens,zeer eens,neutraal,zeer eens,
109,5-13-24 14:18:33,5-13-24 14:22:00,anonymous,,,Wil ik liever niet melden,HBO,19,Boeddhisme,Friesland,Ja,Niet van toepassing ,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,zeer eens,neutraal,neutraal,zeer eens,zeer eens,beetje eens,
110,5-20-24 23:03:29,5-20-24 23:06:54,anonymous,,,Vrouw,MBO,21,Niet gelovig,Drenthe,Ja,,Ja,Ja,Ja,Ja,Nee,Ja,Nee,Weet ik niet,zeer eens,neutraal,zeer eens,zeer eens,zeer eens,neutraal,
111,5-26-24 11:11:44,5-26-24 11:13:57,anonymous,,,Man,MBO,62,Niet gelovig,Gelderland,Ja,,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,eens,eens,eens,eens,eens,eens,
112,5-31-24 18:03:19,5-31-24 18:10:47,anonymous,,,Vrouw,MBO,23,Niet gelovig,Zuid-Holland,Ja,Niet van toepassing ,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Nee,zeer eens,eens,eens,zeer eens,eens,zeer eens,
113,5-31-24 18:03:01,5-31-24 18:11:07,anonymous,,,Man,MBO,23,Niet gelovig,Groningen,Ja,Niet van toepassing ,Ja,Ja,Ja,Nee,Nee,Ja,Weet ik niet,Ja,zeer eens,eens,zeer eens,zeer eens,beetje eens,eens,
114,5-31-24 18:34:11,5-31-24 18:37:38,anonymous,,,Vrouw,MBO,20,Niet gelovig,Drenthe,Ja,Niet van toepassing ,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,zeer eens,eens,eens,eens,zeer eens,eens,Abortus is een mensenrecht!!
